"y","female","widowed","divorced","separated","nevermarried","hsd08","hsd911","hsg","cg","ad","exp1","exp2","exp3","female:widowed","female:divorced","female:separated","female:nevermarried","female:hsd08","female:hsd911","female:hsg","female:cg","female:ad","female:exp1","female:exp2","female:exp3","widowed:hsd911","widowed:hsg","widowed:cg","widowed:ad","widowed:exp1","widowed:exp2","widowed:exp3","divorced:hsd08","divorced:hsd911","divorced:hsg","divorced:cg","divorced:ad","divorced:exp1","divorced:exp2","divorced:exp3","separated:hsd911","separated:hsg","separated:cg","separated:ad","separated:exp1","separated:exp2","separated:exp3","nevermarried:hsd08","nevermarried:hsd911","nevermarried:hsg","nevermarried:cg","nevermarried:ad","nevermarried:exp1","nevermarried:exp2","nevermarried:exp3","hsd08:exp1","hsd08:exp2","hsd08:exp3","hsd911:exp1","hsd911:exp2","hsd911:exp3","hsg:exp1","hsg:exp2","hsg:exp3","cg:exp1","cg:exp2","cg:exp3","ad:exp1","ad:exp2","ad:exp3","exp1:exp2","exp1:exp3","exp2:exp3"
1.90954250488444,1,0,0,0,0,0,0,0,0,0,22,4.84,10.648,0,0,0,0,0,0,0,0,0,22,4.84,10.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.48,234.256,51.53632
1.36577272539909,1,0,0,0,0,0,1,0,0,0,30,9,27,0,0,0,0,0,1,0,0,0,30,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,27,0,0,0,0,0,0,0,0,0,270,810,243
2.54022309045871,0,0,0,0,0,0,0,1,0,0,19,3.61,6.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.61,6.859,0,0,0,0,0,0,68.59,130.321,24.76099
1.80109079665694,1,0,0,0,0,0,0,1,0,0,14,1.96,2.744,0,0,0,0,0,0,1,0,0,14,1.96,2.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.96,2.744,0,0,0,0,0,0,27.44,38.416,5.37824
3.3499040872746,0,0,0,0,0,0,0,0,1,0,15,2.25,3.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.25,3.375,0,0,0,33.75,50.625,7.59375
2.002830439308,0,0,0,0,0,0,0,1,0,0,23,5.29,12.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5.29,12.167,0,0,0,0,0,0,121.67,279.841,64.36343
2.45608621125251,0,0,0,0,1,0,0,1,0,0,33,10.89,35.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,10.89,35.937,0,0,0,0,0,0,33,10.89,35.937,0,0,0,0,0,0,359.37,1185.921,391.35393
3.57304763858881,0,0,0,0,0,0,0,0,0,0,23.5,5.5225,12.977875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.77875,304.9800625,71.6703146875
2.51365606307399,0,0,0,0,0,0,0,0,1,0,15,2.25,3.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.25,3.375,0,0,0,33.75,50.625,7.59375
0.289633292583043,1,0,0,0,0,0,0,0,0,0,15.5,2.4025,3.723875,0,0,0,0,0,0,0,0,0,15.5,2.4025,3.723875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.23875,57.7200625,8.9466096875
